Symbol,Security,SECfilings,GICSSector,GICSSub-Industry,HeadquartersLocation,Datefirstadded,CIK,Founded
HSIC,HenrySchein,reports,HealthCare,HealthCareDistributors,Melville,NewYork,2015-03-17,0001000228,1932
HSY,Hershey's,reports,ConsumerStaples,PackagedFoods&Meats,Hershey,Pennsylvania,1957-03-04,0000047111,1894
HES,Hess,reports,Energy,IntegratedOil&Gas,NewYorkCity,NewYork,1984-05-31,0000004447,1919
HPE,HewlettPackardEnterprise,reports,InformationTechnology,TechnologyHardware,Storage&Peripherals,Houston,Texas,2015-11-02,0001645590,2015
HLT,Hilton,reports,ConsumerDiscretionary,Hotels,Resorts&CruiseLines,TysonsCorner,Virginia,2017-06-19,0001585689,1919
HOLX,Hologic,reports,HealthCare,HealthCareEquipment,Marlborough,Massachusetts,2016-03-30,0000859737,1985
HD,HomeDepot,reports,ConsumerDiscretionary,HomeImprovementRetail,Atlanta,Georgia,1988-03-31,0000354950,1978
HON,Honeywell,reports,Industrials,IndustrialConglomerates,Charlotte,NorthCarolina,1964-03-31,0000773840,1906
HRL,Hormel,reports,ConsumerStaples,PackagedFoods&Meats,Austin,Minnesota,2009-03-04,0000048465,1891
HST,HostHotels&Resorts,reports,RealEstate,Hotel&ResortREITs,Bethesda,Maryland,2007-03-20,0001070750,1993
HWM,HowmetAerospace,reports,Industrials,Aerospace&Defense,Pittsburgh,Pennsylvania,1964-03-31,0000004281,2016
HPQ,HP,reports,InformationTechnology,TechnologyHardware,Storage&Peripherals,PaloAlto,California,1974-12-31,0000047217,1939(2015)
